ID,RA,DEC
127,37.92154943024108,-4.8826222440050415
702,34.08560613066058,-2.1505794000478256
809,33.671222307833894,-4.56735422949614
889,37.43319004296061,-3.6148702393357244
1053,33.11244922348698,-5.626558110873388
1354,32.73503675124163,-6.198413924080195
1958,33.60740117213415,-6.4611717688848875
2565,33.44801126766712,-6.877016227008727
3121,36.43720291702562,-3.20917476687326
3578,35.44063761165447,-3.771908888477839
5442,33.780148816067616,-5.9806394774364335
5477,31.367624856636944,-5.7324395332079625
5502,37.01132863664791,-2.200498931560755
5686,34.019969289428936,-4.232554111417179
6497,34.15078430314041,-4.451546364058701
6629,30.331766668518014,-6.82991224788471
6744,33.87297278699361,-5.548687551630768
6792,36.45542379911373,-5.896198270947739
7557,38.3982858052971,-5.5060407245914655
7565,33.867671440239945,-4.678114699907562
7745,38.413976751613355,-4.175278806040367
7988,37.66156901930483,-4.9910021778013505
8489,32.79383130109673,-4.344797190442918
8554,34.22716770830068,-2.4656858440768508
8665,31.706269594993437,-6.9735666740633295
8957,30.59049103240841,-5.9031521763441885
9126,30.850459486898984,-3.767996127397569
9391,30.05712830183039,-3.4829547644270415
9596,38.13852850697121,-4.775238533825298
9913,38.25318712387494,-6.606980623262595
10137,34.53499960848935,-6.378891663833734
10387,37.11594275298565,-4.435481957488764
10512,34.65520141233845,-5.6735858702630635
10553,33.49208997484047,-3.263142826548331
10682,37.32230185340023,-5.9015619842667775
10793,37.61560280820253,-4.5636296405517935
11049,32.762116803761785,-4.893867661169003
11254,35.9896582096577,-4.586146468428759
11362,30.543691010284917,-3.187537097505705
11757,37.99879424672428,-5.736739411387163
11790,35.18955928075255,-3.433295587595199
12649,32.12074640101328,-4.942331153382729
13516,35.3947408448302,-6.438410116636595
13858,30.399865825604664,-6.401038470039209
14064,30.704832972538526,-4.035627561547488
14220,32.75182319349361,-3.28500903331024
14967,36.88669172876714,-5.964507921490346
14977,35.96049440555679,-5.611021852810499
15105,35.18562347572295,-2.0543690170672693
16024,36.30121686639985,-6.383153253714431
16201,32.188135363833794,-3.978286369012817
16373,32.34307911916335,-3.1961340051583416
17055,38.03290115890484,-2.1765881218570637
17129,33.14112169008548,-6.202860211778228
17527,36.584723611039465,-2.473383926382241
17849,33.66944309864189,-6.31036914730128
18046,33.918108398756814,-2.5775600340859834
18197,31.777742240027465,-3.3369731011624166
18936,30.130977501764903,-5.467004375510023
19718,35.48497083230141,-5.758786801913293
19912,38.35092270750856,-5.708093449132005
20265,30.393486601042824,-3.0016649885878786
20958,36.75433441647224,-5.663215981457692
21677,38.21531118697103,-5.566344426677393
22900,32.57305319140451,-3.165263645118589
23037,33.94935111196824,-5.970722529704321
23868,33.90043002443016,-4.011392814661271
23995,34.27634303709819,-3.096618881271085
24206,35.90341843296029,-3.038146565002325
24952,36.01405648355289,-2.471135851282003
25765,34.681138675536836,-5.553843212164029
28218,30.5758192626287,-3.0133930641265616
28664,30.74143660691189,-6.2998569251685055
29175,33.114440071378546,-6.075059280775296
29826,33.53353294801167,-5.591923866516085
30166,33.94673039403431,-2.130480023852938
31123,31.254063468488056,-5.930728748685181
32326,38.27844649476516,-3.697417579535543
33440,36.61714129264887,-4.997723957876307
33530,35.128984436379696,-6.8255129257570655
33878,33.177644889015994,-3.318474524848761
34227,33.91852950288036,-2.251482427544255
34619,35.5190211095704,-4.550064946885168
34635,30.192246591355968,-6.70830062130136
35458,32.01285505474745,-3.397152486706821
36583,32.37221045863618,-6.720061738869063
38824,34.922925205426104,-4.875181697325861
39571,31.27451824211378,-6.131389709132454
40021,35.83673510639418,-2.58392225741068
40835,34.08900506102696,-5.995114963780076
43578,36.61964806122721,-2.2056315715963275
53824,33.875666283009615,-6.727410398496243
53928,32.16350671702035,-3.2292997545317275
56892,34.828843487369674,-2.045820437345276
59215,36.84332966224797,-3.3609857776472736
64896,37.33396687050604,-3.4146497996718366
73887,34.66703612975933,-3.385089200994533
83192,33.81555982596237,-2.63144669620491
87618,31.241170326667465,-3.0506946845820186
